participantId,assists,champLevel,combatPlayerScore,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,championId,highestAchievedSeasonTier,spell1Id,spell2Id,win,teamId,creepsPerMinDeltas,csDiffPerMinDeltas,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,goldPerMinDeltas,lane,role,xpDiffPerMinDeltas,xpPerMinDeltas,gameId
3,5,15,0,8171,1663,28084,7,1,false,true,false,false,false,false,13003,11525,3077,2055,3111,3026,3071,1412,3340,4,12,650,23634,2359,9867,107,1,85,111378,17161,22556,141186,20548,35089,5255,55,6174,1028,2665,64,CHALLENGER,11,4,false,100,0.4 3.4 1.7,0.19999999999999998 2.9 -0.3000000000000001,-48.39999999999998 245.5 161.70000000000005,681.1 1087.3 1463,312.7 547.4000000000001 352.6,JUNGLE,NONE,52.39999999999998 -13.099999999999994 -217.60000000000002,368.2 517.1 417.1,1477146052
4,11,14,0,179,0,9775,7,0,false,false,false,false,false,false,7097,6750,3504,3108,3098,0,3117,3028,3364,0,1,322,20542,6244,3528,0,0,0,3399,476,8525,23941,6720,13796,17448,13,0,0,1742,16,CHALLENGER,21,4,false,100,0.2 0.4 0.4,-1.4500000000000002 -0.6500000000000004 -0.7,-3.4499999999999744 -287.6000000000001 5.7999999999999545,212.6 375.70000000000005 575.7,141.8 255.2 238.89999999999998,BOTTOM,DUO_SUPPORT,-41.400000000000006 -63.29999999999998 -31.649999999999977,218.1 395.4 537.1,1477146052
5,8,14,0,0,0,11885,9,0,false,false,false,false,false,false,8824,8275,3020,3285,3165,1056,2031,0,3340,0,1,606,106964,13664,5219,4,0,4,15873,1666,11229,125613,15366,18433,6,184,2775,35,1984,99,DIAMOND,21,4,false,100,7.800000000000001 4.699999999999999 5.5,0.8000000000000003 -5.1 -1,-125.19999999999999 46.900000000000034 150.89999999999998,308.3 587.7 918.7,305.3 234.1 273.9,MIDDLE,SOLO,90.00000000000003 -379.9 -209.39999999999998,492.20000000000005 281.5 440.70000000000005,1477146052
6,21,15,0,3015,1517,22464,4,0,false,false,false,false,false,false,11363,10950,3401,3190,3109,3083,0,3009,3364,1,4,598,24248,9947,11215,0,0,0,6104,1523,8855,31381,12499,20552,3995,34,1029,1029,481,412,MASTER,4,14,true,200,1 1 1.4,1.4500000000000002 0.6500000000000004 0.7,3.4499999999999744 287.6000000000001 -5.7999999999999545,324.7 746 689.5,157.1 490.9 413.7,BOTTOM,DUO_SUPPORT,41.400000000000006 63.29999999999998 31.649999999999977,251.4 473.2 569.8,1477146052
7,6,17,0,6832,3802,8233,4,0,false,false,false,false,false,false,13107,12350,3102,3100,3285,1026,1082,3020,3363,1,4,571,103097,11960,8660,20,8,12,17644,1357,9285,165509,16630,18172,4473,238,44766,3312,226,103,DIAMOND,14,4,true,200,7 9.8 6.5,-0.8000000000000003 5.1 1,125.19999999999999 -46.900000000000034 -150.89999999999998,433.5 540.8 767.8,240.9 470.9 520.4,MIDDLE,SOLO,-90.00000000000003 379.9 209.39999999999998,402.2 661.4 650.1,1477146052
8,4,17,0,6814,5838,22385,5,0,false,false,false,true,false,false,12641,12258,1054,3078,3074,2031,3047,3053,3340,1,4,878,610,610,9659,17,15,0,135232,14207,16258,163202,18781,26842,2148,243,27359,3962,924,164,MASTER,4,12,true,200,8.4 9.7 6.2,0.8000000000000003 2.2999999999999994 -4,-58.30000000000001 63.69999999999993 182.59999999999997,283.6 928.8 1365.1999999999998,268.8 420.79999999999995 516.8,TOP,SOLO,-8.799999999999983 120.39999999999998 38.39999999999998,443.40000000000003 633.3 650.8,1477146052
9,4,16,0,35103,7016,19149,4,3,false,false,false,false,false,true,13712,12733,1412,3211,3047,3078,3742,3067,3340,3,10,519,15238,1928,9009,129,15,71,128922,15540,20151,157618,19191,29586,16338,27,13456,1723,425,5,DIAMOND,11,4,true,200,0.2 0.5 2,-0.19999999999999998 -2.9 0.3000000000000001,48.39999999999998 -245.5 -161.70000000000005,729.5 841.8 1301.3,240.9 422.8 585.8,JUNGLE,NONE,-52.39999999999998 13.099999999999994 217.60000000000002,315.8 530.2 634.7,1477146052
10,9,16,0,27614,4938,22507,5,1,false,false,false,false,false,false,16846,15650,3031,3094,3140,3006,3072,3095,3363,4,11,706,3467,749,8981,18,1,12,195615,23380,8676,204472,26104,17952,1514,240,5389,1974,294,119,CHALLENGER,4,7,true,200,8 8 7.6,1.4500000000000002 0.6500000000000004 0.7,3.4499999999999744 287.6000000000001 -5.7999999999999545,193.9 681.1 690.5999999999999,356.5 577.3 673.5999999999999,BOTTOM,DUO_CARRY,41.400000000000006 63.29999999999998 31.649999999999977,337.3 504.09999999999997 650.8,1477172149
1,11,17,0,26065,1875,28064,4,0,false,true,false,false,false,false,13371,13125,3026,3071,3053,3047,3082,1011,3340,0,4,599,4337,0,10950,140,14,93,148203,15843,21872,196973,23570,34129,10403,57,44432,7726,1306,2,CHALLENGER,11,6,true,100,0.8 1 3.8,0.7 0.09999999999999998 0.19999999999999962,169.00000000000006 -394.29999999999995 -261.5999999999999,767.7 1005.1 1204.8000000000002,308.7 387.20000000000005 440.2,JUNGLE,NONE,10.799999999999983 5.299999999999983 13.69999999999996,397.7 524.3 581.5999999999999,1477172149
2,16,16,0,1370,828,24845,6,0,false,false,false,false,false,false,10309,9800,3117,3110,3401,2055,1029,3026,3364,0,4,461,742,742,8697,0,0,0,26614,10278,13029,39613,13005,22940,8698,51,12255,1985,1212,555,CHALLENGER,14,4,true,100,1.5 1.7999999999999998 1.6,,,330.6 539.4000000000001 961.0999999999999,211.5 305.7 336.20000000000005,MIDDLE,DUO_SUPPORT,,268.8 352.1 532.4,1477172149
3,8,16,0,22519,4788,18906,10,0,false,false,false,false,false,false,13984,13075,3006,3095,3072,3094,1038,1037,3340,1,6,238,2283,342,5309,29,8,13,156367,19810,15142,163099,22569,21358,2912,183,4449,2415,905,119,UNRANKED,7,4,true,100,6.300000000000001 7.699999999999999 3.2,,,469.4 713.9000000000001 738.4000000000001,341.9 404.2 459.79999999999995,MIDDLE,DUO,,329.5 441.7 543.5,1477172149
4,6,18,0,13485,3602,9936,4,4,false,false,false,false,false,false,17908,15375,3020,3905,3030,3089,3165,3108,3363,3,14,1380,209807,37158,7970,27,19,8,11070,794,11654,223368,38077,20176,2546,242,2490,125,551,45,MASTER,6,4,true,100,7 11.4 4.2,,,348.1 279 1026.4,270.9 626.5 602.8,MIDDLE,DUO,,435.9 698.6 498.1,1477172149
5,6,18,0,9406,9406,69058,4,0,false,false,false,true,false,true,16943,15425,3065,3033,3071,3047,3052,3742,3340,3,8,692,34693,6002,8265,12,4,0,172788,18298,34083,210410,27227,46263,2120,288,2927,2927,3914,86,UNRANKED,12,4,true,100,7.5 10.1 10.6,1.1 -4.440892098500626e-16 5.8999999999999995,72.80000000000001 748.4000000000001 -15.600000000000023,653 1318.2 1614.7,290.4 604 549.5999999999999,TOP,SOLO,68.1 78.19999999999999 268.70000000000005,470 607.5 790.1,1477172149
6,2,16,0,1864,1864,20487,10,0,false,false,false,false,false,false,12457,10483,2033,3078,3153,3047,1043,1037,3340,1,6,353,34405,4500,13358,8,0,8,109243,12576,18932,149915,20978,35465,2547,222,6266,3901,3174,24,MASTER,4,12,false,200,6.4 10.1 4.7,-1.1 4.440892098500626e-16 -5.8999999999999995,-72.80000000000001 -748.4000000000001 15.600000000000023,580.2 569.8 1630.3000000000002,242 370.7 399.2,TOP,SOLO,-68.1 -78.19999999999999 -268.70000000000005,401.9 529.3 521.4,1477172149
7,11,17,0,3693,718,14840,7,0,false,false,false,false,false,false,14410,13425,1038,3153,3140,3071,3006,3094,3363,1,7,613,12362,3856,4565,4,0,4,177893,27596,19639,201243,32135,28458,2949,273,10987,682,4253,236,CHALLENGER,4,7,false,200,6.8 9.6 9.3,,,499.4 608.1 902,285.9 426.8 552.8,BOTTOM,DUO_CARRY,,379 554.6 625.8,1477172149
8,9,18,0,819,0,8883,3,0,false,false,false,false,false,false,11520,10800,3102,3285,3916,1026,1082,3020,3363,1,2,582,216739,19545,5435,8,0,8,15672,1014,11168,237086,20560,17822,8443,282,4675,0,1218,26,DIAMOND,21,4,false,200,8.1 6.8 9.2,,,347 946.4000000000001 479,254.7 294 417,MIDDLE,SOLO,,427.9 502.29999999999995 731.9000000000001,1477172149
9,6,16,0,10715,0,23996,8,0,false,false,false,false,false,false,11808,11508,3047,1412,3078,3053,2055,1028,3364,3,9,683,13919,1838,11103,100,0,78,128048,15033,27347,147172,18481,43278,13403,52,5204,1610,4826,5,DIAMOND,11,4,false,200,0.1 0.9 3.6,-0.7 -0.09999999999999998 -0.19999999999999962,-169.00000000000006 394.29999999999995 261.5999999999999,598.7 1399.4 1466.4,373.6 347.5 351.29999999999995,JUNGLE,NONE,-10.799999999999983 -5.299999999999983 -13.69999999999996,386.9 519 567.9,1477172149
10,15,15,0,2680,0,19908,8,0,false,false,false,false,false,false,9457,8950,3092,3110,3065,1029,0,3111,3363,1,4,469,21083,9162,11797,0,0,0,3270,1878,11291,28033,12737,24795,3425,20,3680,1696,1706,432,MASTER,4,14,false,200,0.2 1 0.7,,,320.8 475.1 1134.5,225.79999999999998 271.7 336.70000000000005,BOTTOM,DUO_SUPPORT,,284.29999999999995 445.70000000000005 494.5,1477516494
1,10,14,0,5371,0,19677,8,0,false,false,false,false,false,false,10476,10125,3077,2420,1412,3111,3071,1038,3340,0,4,454,24078,2126,5226,104,4,79,105966,14324,18756,136192,17865,26551,4200,37,6148,1414,2568,64,CHALLENGER,11,4,false,100,0.9 0.6,0.5 -1.1,166.8 246.49999999999994,477.6 1028.6,222.7 392.9,JUNGLE,NONE,-80.9 112,274.1 557,1477516494
2,6,13,0,2282,2282,7675,9,0,false,false,false,false,false,false,9409,9270,1055,3006,3153,3071,3086,0,3363,1,2,395,4521,1267,6128,0,0,0,85356,11542,13509,90267,12910,21002,1299,183,390,100,1364,236,UNRANKED,4,7,false,100,5.8 8.5,-0.7 0.20000000000000018,23.000000000000014 120.05000000000001,412.5 664.5,231.9 429.6,BOTTOM,DUO_CARRY,-64.70000000000002 -16,237.1 495.7,1477516494
3,5,14,0,1040,1040,5172,7,0,false,false,false,false,false,false,10575,9300,3020,2033,3285,3165,3108,1033,3363,2,6,481,83189,15019,5407,4,0,4,8697,631,6363,98209,16219,13270,0,163,6323,568,1499,134,DIAMOND,4,14,false,100,6.1 6.5,-0.10000000000000031 1.8,143.70000000000002 -98.79999999999998,331.4 351.5,221.3 440.6,MIDDLE,SOLO,-38.699999999999974 16.200000000000017,380 475.9,1477516494
4,8,11,0,0,0,14143,8,0,false,true,false,false,false,false,7076,4925,3401,0,2055,3109,3117,0,3364,0,4,846,5860,3910,7248,0,0,0,5383,1139,11002,21233,5892,21967,1710,46,9988,842,3716,201,DIAMOND,4,14,false,100,1.6 2.3,-0.7 0.20000000000000018,23.000000000000014 120.05000000000001,147 970.3,187.4 259.3,BOTTOM,DUO_SUPPORT,-64.70000000000002 -16,207.3 336.8,1477516494
5,8,14,0,0,0,42844,9,0,false,false,false,false,false,false,8210,7375,2033,3047,3211,1029,3110,3076,3340,1,4,745,11426,2529,9951,0,0,0,64096,10826,22561,78193,13571,35989,20339,112,2671,216,3477,14,UNRANKED,4,12,false,100,5.4 3.6999999999999997,-1.6 -2.7,143.8 671.2,551.2 1530.2,231.39999999999998 320.6,TOP,SOLO,-6.800000000000011 -104,440.29999999999995 375.2,1477516494
6,19,15,0,32152,5514,14074,5,0,false,false,false,false,false,false,12917,12200,1412,3095,3006,1053,3071,3133,3364,2,5,761,7341,929,6563,127,21,82,154965,18073,15483,174541,20991,22642,6380,45,12234,1988,595,104,CHALLENGER,4,11,true,200,0.4 1.7000000000000002,-0.5 1.1,-166.8 -246.49999999999994,310.8 782.1,328.5 382.6,JUNGLE,NONE,80.9 -112,355 445,1477516494
7,8,16,0,21664,9201,7679,4,2,false,false,false,true,false,true,13616,11075,1054,3095,3115,3124,0,3006,3363,3,9,679,22964,7314,5760,10,0,1,125504,14906,7569,157549,22221,14196,2379,224,9080,0,866,145,CHALLENGER,7,4,true,200,7.6 8.2,0.7 -0.20000000000000018,-23.000000000000014 -120.05000000000001,251.3 487.7,287.8 450.70000000000005,BOTTOM,DUO_CARRY,64.70000000000002 16,362.7 491.3,1477516494
8,8,16,0,11836,5609,38293,5,4,false,false,false,false,false,false,14298,11275,3800,3111,2033,3071,3194,1011,3340,3,14,568,777,777,5344,4,0,0,108720,21372,20169,126840,26079,26536,574,174,17342,3930,1023,6,UNRANKED,12,4,true,200,7 6.4,1.6 2.7,-143.8 -671.2,407.4 859,243.6 596.4,TOP,SOLO,6.800000000000011 104,447.1 479.2,1477516494
9,12,15,0,3617,3130,3492,3,1,false,false,false,false,false,false,12781,9375,1056,3165,3020,3285,1058,0,3340,3,11,852,59027,16142,4314,0,0,0,13573,1379,5434,102567,23136,9856,1098,168,29966,5615,108,103,MASTER,14,4,true,200,6.2 4.7,0.10000000000000031 -1.8,-143.70000000000002 98.79999999999998,187.7 450.29999999999995,270.8 416.6,MIDDLE,SOLO,38.699999999999974 -16.200000000000017,418.7 459.7,1477516494
10,22,13,0,2525,1298,18790,3,0,false,false,false,false,true,false,9818,8775,3190,3050,3401,2055,3117,3801,3364,0,2,869,13514,8228,4347,4,0,0,9362,1685,10766,38123,11005,15662,8604,52,15245,1092,548,12,DIAMOND,14,4,true,200,1.2 2.2,0.7 -0.20000000000000018,-23.000000000000014 -120.05000000000001,262.2 907,198.8 321.2,BOTTOM,DUO_SUPPORT,64.70000000000002 16,211.1 373.2,1477536824
1,11,17,0,10156,0,48799,11,0,false,true,false,false,false,false,10394,10075,3742,2055,3047,1413,3082,1011,3520,0,2,316,29959,1307,6204,114,8,91,105301,12359,33437,160498,22875,42367,7553,30,25237,9209,2726,2,CHALLENGER,4,11,false,100,0.1 0.6 1.8 1,-0.5 -1.3 -1.8 -0.8,352 214 493.5 618.8,792.9 924.9000000000001 1208.9 1946.2,274 313.4 237.8 279.6,JUNGLE,NONE,-40.39999999999999 26.700000000000017 -230.3 -87.40000000000009,329.8 543 408 668.8,1477536824
2,5,18,0,11469,453,14604,8,0,false,false,false,false,false,false,16311,16800,3031,3153,3047,3124,3046,3086,3364,2,9,473,6539,1187,3400,4,0,4,208575,27271,25062,255499,37985,29462,4794,317,40385,9527,999,67,CHALLENGER,7,4,false,100,8.4 6.199999999999999 8.1 14.8,-0.7500000000000002 -3.05 0.20000000000000018 5.1000000000000005,8.449999999999989 -31.599999999999966 -315.04999999999995 -1071.1999999999996,405 879.8 802.6 1226,344.4 293.3 417.29999999999995 794.4,BOTTOM,DUO_CARRY,8.149999999999977 -188.65 5.600000000000023 190.9000000000001,364.29999999999995 303.3 525.4 1044.8,1477536824
3,6,18,0,5368,1055,36992,4,0,false,false,false,false,false,false,14269,14350,3134,3142,3026,3133,3047,3071,3340,1,5,1538,56,0,5818,8,0,3,243577,25592,32980,244625,25841,42411,20074,289,990,248,3612,266,UNRANKED,12,4,false,100,6.5 9.1 7.6 8.8,-2.220446049250313e-16 0.5999999999999996 -4 0.40000000000000036,-15.099999999999994 8.099999999999966 472.9 641.2,442.5 873.0999999999999 1415.6 2191.4,237.60000000000002 422.9 438.40000000000003 447.2,TOP,SOLO,16.99999999999997 75.20000000000005 -133.50000000000003 92.20000000000005,444.5 590.1 536.1 708,1477536824
4,6,18,0,390,0,38763,7,0,false,false,false,false,false,false,14099,13900,1082,3040,3157,3047,3027,3100,3363,2,6,1204,139493,21601,2519,14,0,10,24519,2337,34771,167843,24498,41726,16380,245,3829,559,4436,38,DIAMOND,4,12,false,100,4.4 7.9 8.6 4.8,-2 -2.7 -0.10000000000000009 -1.7999999999999998,224.3 -119.4 359.49999999999994 1177.3999999999999,631.2 512.7 1018.3 2655.6,192.2 437.5 364.9 578.8,MIDDLE,SOLO,-139.59999999999997 -64.39999999999998 24.399999999999977 -122.20000000000005,298.6 537.7 580 560,1477536824
5,15,16,0,696,61,12184,5,0,false,false,false,false,false,false,9577,8700,2055,3098,3107,3504,3105,3158,3364,0,2,1017,31784,7106,2871,4,0,4,6169,955,13484,39779,9137,17654,7143,28,1825,1075,1298,40,UNRANKED,4,14,false,100,0 0.8 1.5 0.4,-0.7500000000000002 -3.05 0.20000000000000018 5.1000000000000005,8.449999999999989 -31.599999999999966 -315.04999999999995 -1071.1999999999996,242.8 427.4 329.9 835.4,169.8 262.9 251.8 266.8,BOTTOM,DUO_SUPPORT,8.149999999999977 -188.65 5.600000000000023 190.9000000000001,317.6 338 469.90000000000003 801.2,1477536824
6,8,18,0,5575,5414,20301,4,0,false,false,false,true,false,true,17972,15600,3156,3812,0,3147,3071,3111,3340,3,8,799,9246,915,8709,20,8,4,209861,33273,14586,220835,35536,29150,7413,300,1727,1347,5855,238,CHALLENGER,14,4,true,200,6.4 10.600000000000001 8.7 6.6,2 2.7 0.10000000000000009 1.7999999999999998,-224.3 119.4 -359.49999999999994 -1177.3999999999999,406.9 632.1 658.8 1478.2,341.4 522 477 488.2,MIDDLE,SOLO,139.59999999999997 64.39999999999998 -24.399999999999977 122.20000000000005,438.2 602.0999999999999 555.6 682.2,1477536824
7,2,18,0,8178,8178,33247,3,0,false,false,false,false,false,false,14222,12858,3074,2033,3078,3812,3047,2055,3340,0,1,1099,7421,2801,3026,4,4,0,211568,10994,24855,236080,17712,32575,7471,328,17091,3916,4694,114,CHALLENGER,12,4,true,200,6.5 8.5 11.6 8.4,2.220446049250313e-16 -0.5999999999999996 4 -0.40000000000000036,15.099999999999994 -8.099999999999966 -472.9 -641.2,457.59999999999997 865 942.7 1550.2,236.1 337.1 507.29999999999995 373.2,TOP,SOLO,-16.99999999999997 -75.20000000000005 133.50000000000003 -92.20000000000005,427.5 514.9 669.6 615.8,1477536824
8,7,18,0,33071,5614,17021,5,5,false,false,false,false,false,false,19510,20135,3153,3031,3124,3085,3094,3047,3363,4,16,707,30487,9722,7490,58,12,28,223666,33705,15396,262197,47231,26556,5376,268,8043,3803,3669,110,CHALLENGER,7,4,true,200,8.3 9.1 6.5 2.6,0.7500000000000002 3.05 -0.20000000000000018 -5.1000000000000005,-8.449999999999989 31.599999999999966 315.04999999999995 1071.1999999999996,252.3 454.79999999999995 788.3 1830.6,327.7 517.3 591 636,BOTTOM,DUO_CARRY,-8.149999999999977 188.65 -5.600000000000023 -190.9000000000001,364.3 529.7 565.2 791.8,1477536824
9,9,18,0,40009,4307,18474,5,1,false,false,true,false,false,false,16675,16250,1412,3047,3095,3094,3031,3071,3364,2,8,775,8701,2120,7753,181,38,92,238795,26085,17997,258433,29981,28390,12650,74,10937,1775,2639,104,UNRANKED,4,11,true,200,0.6 1.9 3.6 1.8,0.5 1.3 1.8 0.8,-352 -214 -493.5 -618.8,440.9 710.9000000000001 715.4 1327.4,255.8 406.9 534.8 478.4,JUNGLE,NONE,40.39999999999999 -26.700000000000017 230.3 87.40000000000009,370.2 516.3 638.3 756.2,1477536824
10,17,17,0,844,338,39649,7,0,false,false,true,false,false,false,11490,11105,3401,3190,3107,3047,3110,0,3364,0,2,671,26343,3683,6936,0,0,0,37301,6723,23003,79970,12637,35497,22202,100,16326,2231,5558,14,MASTER,4,14,true,200,1.6 4 2.7 2.4,0.7500000000000002 3.05 -0.20000000000000018 -5.1000000000000005,-8.449999999999989 31.599999999999966 315.04999999999995 1071.1999999999996,378.59999999999997 915.5999999999999 974.3 2373.2,186.2 310.5 355.3 335.4,BOTTOM,DUO_SUPPORT,-8.149999999999977 188.65 -5.600000000000023 -190.9000000000001,301.29999999999995 488.9 418.9 672.4,1477559304
1,2,14,0,9394,420,15587,7,0,false,false,false,false,false,false,9611,9458,3078,2033,3748,3047,1028,0,3340,0,2,596,25014,5098,5710,4,0,0,100117,8140,15082,139765,16771,22076,2496,213,14633,3531,1282,39,UNRANKED,14,4,false,100,7 7.8,0.09999999999999964 -1.0999999999999996,47.099999999999994 15.700000000000017,437.1 761.5,236.4 376.79999999999995,MIDDLE,SOLO,-18.299999999999983 -122.50000000000003,424.3 450.20000000000005,1477559304
